Task ID,Task Name,tags,Przeznaczenie (drop down),Klawiatura (labels),Obudowa (labels),Procesor (drop down),Model Procesora (short text),Grafika (short text),RAM (drop down),Dysk (drop down),Rozdzielczość (drop down),Matryca (labels),Problemy (labels),Uwagi (text),Regał (drop down),Lists,Zamówienie (short text)
86bwhyn17,8SBTJW2,[dell latitude 5300],Magazyn,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Zwykłe ryski / otarcia],[],,3,[20.11.23 ATF Francja 239239 -],
86bwhyn33,dthymw2,[dell latitude 5300],Magazyn,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,BRAK,1366 x 768,[Zwykłe ryski / otarcia],[],,3,[20.11.23 ATF Francja 239239 -],
86bwhyn4y,5m9tjw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],,,,,,,[Zbita],[],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhynfz,6DBTJW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,,,[Zbita],[],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhynrv,5wyhwz2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Uszczerbek],i5,8365U,,8,,,[Zbita],[Spód X],,3,[20.11.23 ATF Francja 239239 -],
86bwhyp6c,9QMPHW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Pęknięcie],i5,8365U,,8,256,1920 x 1080,"[Wielkie poświaty, Zwykłe ryski / otarcia]",[Palmrest],mikro pekn kolo SC,3,[20.11.23 ATF Francja 239239 -],
86bwhyp9k,5TXHWZ2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Zwykłe ryski / otarcia],[],,3,[20.11.23 ATF Francja 239239 -],
86bwhypat,4lmymw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,,,[],[Hasło Bios],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhypj7,ggbtjw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Uszczerbek],i5,8365U,,16,256,1366 x 768,[Bez wad],[Spód X],,3,[20.11.23 ATF Francja 239239 -],
86bwhypvq,9kitjw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Uszczerbek],i5,8365U,,8,,,[Zbita],[Ramka Matrycy],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhyq15,bxshwz2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Uszczerbek],i5,8365U,,8,BRAK,1366 x 768,[],[Spód X],uszk spód,3,[20.11.23 ATF Francja 239239 -],
86bwhyq5g,dj9tjw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]","[Klapa wymaga skina, Ok]",i5,8365U,,8,,,[Zbita],[],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhyq78,GRBTJW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]","[Palmrest wymaga skina, Ok]",i5,8365U,,8,,,[Zbita],[],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhyqam,8dzymw,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]","[Klapa wymaga skina, Ok]",i5,8365U,,8,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",[],,,[20.11.23 ATF Francja 239239 -],
86bwhyqey,hpyhwz2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Uszkodzona, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",[],część klawiszy nie dziala,3,[20.11.23 ATF Francja 239239 -],
86bwhyqm5,hwxhwz2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]","[Klapa wymaga skina, Ok]",,,,,,,,[Nie włącza się],"tylko diodia zasilania, brak obrazu",3,[20.11.23 ATF Francja 239239 -],
86bwhyqqy,jlmymw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Bez wad],[Bateria bios],,3,[20.11.23 ATF Francja 239239 -],
86bwhyru7,CZVYMW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],,,,,,,,[Nie włącza się],przy wcisnieciu D i wlacznika  - są kolory,3,[20.11.23 ATF Francja 239239 -],
86bwhyt19,j8btjw2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,BRAK,1366 x 768,[Mikro otarcia],[],,,[20.11.23 ATF Francja 239239 -],
86bwhyt9b,3294rt2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Klapa wymaga skina, Ok]",i5,8365U,,8,256,1366 x 768,[Zwykłe ryski / otarcia],[],,,[20.11.23 ATF Francja 239239 -],
86bwhytda,5KVHWZ2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",[],TEST OK,3,[20.11.23 ATF Francja 239239 -],
86bwhytth,4fthwz2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Zwykłe ryski / otarcia],[],,,[20.11.23 ATF Francja 239239 -],
86bwhyu7w,8194RT2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Klapa wymaga skina, Ok]",i5,8365U,,4,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",[],,,[20.11.23 ATF Francja 239239 -],
86bwhyv89,HJMYMW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,,,[],[Hasło Bios],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhyvmp,95r6nw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,,,[],[Hasło Bios],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhyvr2,1HBTJW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Zbita],[],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhyvuf,4nmymw2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Bez wad],[],,,[20.11.23 ATF Francja 239239 -],
86bwhz4yk,1VHYMW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Niekompletna, Francuska]",[Ok],i5,8365U,,8,BRAK,1366 x 768,[Mikro otarcia],,,3,[20.11.23 ATF Francja 239239 -],
86bwj6fj1,7LMYMW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,,,[],[Hasło Bios],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwj6gew,93R6NW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Bez wad],[],,3,[20.11.23 ATF Francja 239239 -],
86bwj6j71,4YMYMW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Uszczerbek],i5,8365U,,8,BRAK,1366 x 768,[Zwykłe poświatki],"[USB , Spód X]",USB z prawej X,3,[20.11.23 ATF Francja 239239 -],
86bwj6p6w,crbtjw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Mikro otarcia],[Dźwięk],brak dźwięku,3,[20.11.23 ATF Francja 239239 -],
86bwj6ryv,dcbtjw2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Zwykłe ryski / otarcia],[],,,[20.11.23 ATF Francja 239239 -],
86bwj6tb3,7HMYMW2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,BRAK,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",[Bateria bios],,,[20.11.23 ATF Francja 239239 -],
86bwj6txp,12SYMW2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",[],,,[20.11.23 ATF Francja 239239 -],
86bwj6ujz,jtshwz2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,"[Zwykłe ryski / otarcia, Mikro poświatka]",[],,,[20.11.23 ATF Francja 239239 -],
86bwk6n53,cn9tjw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]","[Klapa wymaga skina, Ok]",,,,,,,[Zbita],[Klapa X],,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk6p9x,ht9tjw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]","[Klapa wymaga skina, Ok]",,,,,,,[Zbita],,,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk6q3u,51symw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]","[Klapa wymaga skina, Ok]",,,,,,,[Zbita],,,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk77px,44btjw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Zbita],,TEST OK,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk7wey,bsk2pt2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Niekompletna, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Mikro poświatka],,,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk8186,7VXHWZ2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,"[Wszędzie otarcia, Zwykłe poświatki]",[Inny],MOCNE OTARCIA EKRANU,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk848b,j5btjw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,"[Wszędzie otarcia, Zwykłe poświatki]",[Inny],poświata ruchoma przy poruszaniu ekranem - z lewej,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk891a,h7whwz2,[dell latitude 5300],Magazyn,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,16,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",,,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk8h3p,HWWHWZ2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]","[Klapa wymaga skina, Ok]",i5,8365U,,8,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",[USB ],2X USB WYRWANE,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk8jvf,21SYMW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Uszkodzona, Francuska]","[Klapa wymaga skina, Ok]",i5,8365U,,8,BRAK,1366 x 768,"[Wszędzie otarcia, Zwykłe poświatki]",[],"
klaw - nie dziala prawidlowo
",3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk8n7t,8dthwz2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Uszkodzona, Francuska]","[Klapa wymaga skina, Ok]",i5,8365U,,8,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",,,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk8v0a,4KVHWZ2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,,[Problem],[Bateria bios],"artefakty
NO TEST",3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk8vxw,2tbtjw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,,[Zbita],,NO TEST,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk9521,3wshwz2,[dell latitude 5300],Magazyn,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Mikro otarcia],,,3,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwk96um,67whwz2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]","[Klapa wymaga skina, Ok]",i5,8365U,,16,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",,klapa trochę wyszczerbiona z lewej,,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86c220zq0,3267NT2,[dell latitude 5300],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.02.05 - IVC],
86c2210tu,5j47nt2,[dell latitude 5300],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.02.05 - IVC],
86c2212vh,j167nt2,[dell latitude 5300],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.02.05 - IVC],
86c2217gj,f267nt2,[dell latitude 5300],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.02.05 - IVC],
86c221a5m,1367nt2,[dell latitude 5300],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.02.05 - IVC],
86c221bm7,7267nt2,[dell latitude 5300],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.02.05 - IVC],
86c221dmx,c067nt2,[dell latitude 5300],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.02.05 - IVC],
86c221e4t,6367nt2,[dell latitude 5300],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[Bateria X],,,[2025.02.05 - IVC],
86c22cqca,dzbpjw2,[dell latitude 5300 2in1],Przyjęcie,,,i5,8365U,,8,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,,,[2025.02.05 - IVC],
86c22crvc,6rbrlw2,[dell latitude 5300 2in1],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,,,[2025.02.05 - IVC],
86c22ct96,jl38hw2,[dell latitude 5300 2in1],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,,,[2025.02.05 - IVC],
86c22cub5,hncsfw2,[dell latitude 5300 2in1],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,,,[2025.02.05 - IVC],
86c22cv76,7zbpjw2,[dell latitude 5300 2in1],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,,,[2025.02.05 - IVC],
86c22cw0x,771xjw2,[dell latitude 5300 2in1],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,,,[2025.02.05 - IVC],
86c22cwqr,brbrlw2,[dell latitude 5300 2in1],Przyjęcie,,,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],,"DOTYK USZK
",,[2025.02.05 - IVC],
86c22f73q,h50td63,[dell latitude 5310],Przyjęcie,,,i5,10310U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.02.05 - IVC],
86bwgy4uy,h2mwzy2,[dell latitude 5400],Serwis,[Francuska],[Ok],i5,8365U,,,,,[],[Nie włącza się],"PO ZALANIU
",,[od 1.07.2024 wprowadzone],
86bwh5z1h,1HF2453,[dell latitude 5400],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,256,1920 x 1080,[Nowa],[],,3,[od 1.07.2024 wprowadzone],
86bwha579,2XBS733,[dell latitude 5400],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,16,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",,,,[od 1.07.2024 wprowadzone],
86bwhdb58,C7VZ353,[dell latitude 5400],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],,,,,,,[],[Nie włącza się],brak reakcji na zasilanie,3,[20.11.23 ATF Francja 239239 -],
86bwhddqe,g81k453,[dell latitude 5400],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],,,,,,,[],[Nie włącza się],Tylko mignie pomar. diodia przy wlaczaniu,3,[20.11.23 ATF Francja 239239 -],
86bwhdufc,49lyn13,[dell latitude 5400],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],,,,,,,[],[Gniazdo ładowania ],,3,[20.11.23 ATF Francja 239239 -],
86bwhdyg3,6QLV0Z2,[dell latitude 5400],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[],,,,,,,[Zbita],"[Spód X, Ramka Matrycy]",,,[20.11.23 ATF Francja 239239 -],
86bwheyxa,gj713x2,[dell latitude 5400],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,BRAK,1366 x 768,[Mikro otarcia],[Nie włącza się],"PRZESTAL SIĘ WLACZAC
",,[od 1.07.2024 wprowadzone],
86bwm22q5,2wtb1z2,[dell latitude 5400],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],,,,,,,[],[Nie włącza się],MIGA ZOLTA DIODIA,,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwm26h4,F42ZL33,[dell latitude 5400],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],,,,,,,[],[Nie włącza się],MIGA ZOLTA DIODIA,,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bzpa3ga,DHKL3Z2,[dell latitude 5400],Serwis,[Malowana QWERTY PL],,i5,8365U,,8,256,1920 x 1080,[Dotyk],[USB ],,,[od 1.07.2024 wprowadzone],
86bzpauz2,j1lwx33,[dell latitude 5400],Serwis,[Francuska],,,,,,,,,[Inny],"BRAK OBRAZU, LAN - X

",,[od 1.07.2024 wprowadzone],
86bzpb6a0,45fnk13,[dell latitude 5400],Serwis,[Francuska],,,,,,,,,[Nie włącza się],,,[od 1.07.2024 wprowadzone],
86bzpbjdp,jnlwx33,[dell latitude 5400],Serwis,[Francuska],,,,,,,,[Zbita],[Nie włącza się],,,[od 1.07.2024 wprowadzone],
86bzpcd0w,8D5Q9Y2,[dell latitude 5400],Serwis,[Francuska],,,,,,,,,[Nie włącza się],,,[od 1.07.2024 wprowadzone],
86bzpdkx7,C64G2Z2,[dell latitude 5400],Serwis,[Brak],,,,,,,,[Brak],"[Spód X, Inne złącze , Palmrest]","LAN
",,[od 1.07.2024 wprowadzone],
86bzpeq2a,JX82N53,[dell latitude 5400],Serwis,[QWERTY PL],,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[USB ],,,[od 1.07.2024 wprowadzone],
86bzperjy,8NM6N53,[dell latitude 5400],Serwis,[QWERTY PL],,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[Inne złącze ],"LAN
",,[od 1.07.2024 wprowadzone],
86bzpewez,3V9XM53,[dell latitude 5400],Serwis,[QWERTY PL],,i5,8365U,,8,BRAK,1920 x 1080,[Zwykłe ryski / otarcia],[Inne złącze ],"LAN
",,[od 1.07.2024 wprowadzone],
86bzpf8z9,B8P3N53,[dell latitude 5400],Serwis,[Malowana QWERTY PL],,i5,8365U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[Inne złącze ],"HDMI I LAN  - X
",,[od 1.07.2024 wprowadzone],
86bzphg5w,1xqtx33,[dell latitude 5400],Serwis,[Francuska],,,,,,,,,[Nie włącza się],,,[od 1.07.2024 wprowadzone],
